ihp_cluster,ihg_0,ihg_1,ihg_2,ihg_3,ihg_4,ihg_5,ihg_6,ihg_7,ihg_8,ihg_9,ihg_10,ihg_11,ihg_12,ihg_13,ihg_14,ihg_15,ihg_16,ihg_17,ihg_18,ihg_19,ihg_20,ihg_21,ihg_22,ihg_23,ihg_24,ihg_25,ihg_26,ihg_27,ihg_28,ihg_29,ihg_30,ihg_31,ihg_32,ihg_33,ihg_34,ihg_35,ihg_36,ihg_37,ihg_38,ihg_39,ihg_40,ihg_41,ihg_42,ihg_43,ihg_44,ihg_45,ihg_46,ihg_47,ihg_48,ihg_49,ihg_50,ihg_51,ihg_52,ihg_53,ihg_54,ihg_55,ihg_56,ihg_57,ihg_58,ihg_59,ihg_60,ihg_61,ihg_62,ihg_63,ihg_64,ihg_65,ihg_66,ihg_67,ihg_68,ihg_69,ihg_70,ihg_71,ihg_72,ihg_73,ihg_74,ihg_75,ihg_76,ihg_77,ihg_78,ihg_79,ihg_80,ihg_81,ihg_82,ihg_83,ihg_84,ihg_85,ihg_86,ihg_87,ihg_88,ihg_89,ihg_90,ihg_91,ihg_92,ihg_93,ihg_94,ihg_95,ihg_96,ihg_97,ihg_98,ihg_99,ihg_100,ihg_101,ihg_102,ihg_103,ihg_104,ihg_105,ihg_106,ihg_107,ihg_108,ihg_109,ihg_110,ihg_111,ihg_112,ihg_113,ihg_114,ihg_115,ihg_116,ihg_117,ihg_118,ihg_119,ihg_120,ihg_121,ihg_122,ihg_123,ihg_124,ihg_125,ihg_126,ihg_127
0,0.0,3.0,0.0,0.0,2.0,0.0,8.0,1.0,2.0,0.0,2.0,2.0,33.0,2.0,0.0,6.0,38.0,0.0,0.0,29.0,9.0,1.0,0.0,0.0,30.0,4.0,2.0,82.0,2.0,2.0,2.0,15.0,0.0,103.0,2.0,0.0,0.0,0.0,0.0,17.0,5.0,3.0,6.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,102.0,130.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,4.0,87.0,3.0,42.0,0.0,64.0,33.0,1.0,8.0,1.0,0.0,8.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,234.0,7.0,5.0,0.0,11.0,0.0,6.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,4.0,43.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0
1,3.0,57.0,7.0,1.0,433.0,32.0,10.0,159.0,87.0,1.0,0.0,145.0,0.0,30.0,13.0,29.0,2.0,0.0,8.0,1.0,1.0,5.0,2.0,71.0,0.0,1.0,4.0,1.0,14.0,164.0,16.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,89.0,49.0,94.0,1.0,3.0,0.0,1.0,6.0,0.0,7.0,0.0,58.0,16.0,2.0,92.0,7.0,138.0,146.0,214.0,60.0,0.0,0.0,0.0,0.0,204.0,11.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,7.0,0.0,24.0,2.0,0.0,10.0,1.0,9.0,5.0,2.0,4.0,5.0,0.0,32.0,16.0,19.0,116.0,0.0,11.0,0.0,7.0,1.0,5.0,150.0,0.0,65.0,2.0,1.0,1.0,8.0,0.0,17.0,1.0,2.0,0.0,16.0,1.0,17.0,62.0,264.0,10.0,0.0,3.0,1.0,2.0,225.0,150.0,0.0,3.0,66.0,32.0,16.0,152.0,0.0
2,0.0,12.0,2.0,2.0,0.0,3.0,24.0,0.0,0.0,77.0,118.0,6.0,4.0,1.0,0.0,3.0,19.0,0.0,0.0,26.0,0.0,68.0,0.0,2.0,12.0,0.0,23.0,7.0,0.0,0.0,29.0,13.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,2.0,1.0,309.0,1.0,165.0,59.0,0.0,14.0,7.0,11.0,0.0,1.0,14.0,1.0,3.0,11.0,0.0,2.0,19.0,2.0,2.0,3.0,1.0,2.0,0.0,45.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,10.0,0.0,1.0,0.0,7.0,281.0,0.0,99.0,2.0,1.0,80.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,12.0,1.0,63.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,0.0,2.0,5.0,7.0,108.0,0.0,5.0,9.0,1.0,0.0,2.0,74.0,0.0,0.0,1.0,14.0,0.0,4.0,3.0,20.0,0.0,2.0,27.0,3.0,1.0
3,1.0,2.0,0.0,1.0,16.0,2.0,12.0,29.0,9.0,15.0,14.0,11.0,3.0,2.0,1.0,11.0,92.0,0.0,1.0,7.0,0.0,21.0,1.0,15.0,3.0,0.0,46.0,14.0,32.0,14.0,3.0,63.0,0.0,8.0,31.0,4.0,0.0,0.0,0.0,1.0,6.0,4.0,2.0,0.0,4.0,26.0,9.0,22.0,0.0,2.0,14.0,3.0,1.0,0.0,2.0,6.0,3.0,1.0,21.0,105.0,6.0,0.0,18.0,2.0,0.0,6.0,3.0,10.0,0.0,14.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,135.0,3.0,146.0,47.0,2.0,12.0,0.0,0.0,10.0,11.0,2.0,61.0,5.0,10.0,0.0,8.0,48.0,201.0,5.0,1.0,10.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,17.0,0.0,1.0,22.0,0.0,5.0,8.0,102.0,1.0,1.0,0.0,14.0,25.0,2.0,0.0,3.0,18.0,1.0,27.0,11.0,0.0
4,0.0,389.0,12.0,114.0,0.0,2.0,0.0,0.0,0.0,17.0,2.0,5.0,1.0,0.0,0.0,4.0,0.0,30.0,0.0,16.0,5.0,0.0,0.0,14.0,4.0,3.0,228.0,14.0,3.0,0.0,0.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,224.0,2.0,0.0,0.0,1.0,7.0,20.0,34.0,626.0,9.0,108.0,188.0,0.0,47.0,0.0,228.0,12.0,0.0,31.0,5.0,0.0,0.0,0.0,90.0,0.0,0.0,5.0,0.0,0.0,37.0,49.0,0.0,0.0,0.0,2.0,46.0,0.0,0.0,0.0,12.0,1.0,9.0,0.0,0.0,1.0,2.0,0.0,0.0,15.0,66.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,150.0,6.0,176.0,67.0,8.0,60.0,0.0,4.0,24.0,0.0,3.0,4.0,0.0,0.0,46.0,47.0,1.0,357.0,6.0,9.0,0.0,3403.0,14.0,0.0,26.0
5,0.0,15.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1041.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,1.0,1.0,1.0,169.0,15.0,0.0,0.0,0.0,314.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,499.0,0.0,80.0,45.0,9.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,613.0,37.0,104.0,21.0,1.0,0.0,0.0,50.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,71.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,66.0,0.0,238.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3523.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,26.0,2621.0,2.0,0.0,83.0,0.0,0.0,0.0
6,32.0,0.0,0.0,1.0,2.0,55.0,34.0,2.0,3.0,15.0,11.0,1.0,0.0,2.0,169.0,7.0,5.0,0.0,31.0,0.0,0.0,4.0,229.0,0.0,0.0,7.0,2.0,0.0,22.0,0.0,13.0,1.0,15.0,0.0,55.0,20.0,19.0,90.0,111.0,0.0,2.0,2.0,0.0,63.0,3.0,10.0,13.0,1.0,7.0,0.0,27.0,1.0,3.0,20.0,0.0,29.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,25.0,4.0,2.0,23.0,4.0,2.0,0.0,149.0,22.0,48.0,1.0,3.0,9.0,30.0,2.0,1.0,92.0,4.0,76.0,139.0,3.0,19.0,2.0,9.0,9.0,0.0,16.0,10.0,0.0,6.0,2.0,116.0,4.0,69.0,0.0,2.0,12.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,14.0,10.0,2.0,0.0,2.0,336.0,33.0,1.0,1.0,0.0,0.0,0.0,168.0,0.0,0.0,5.0,0.0,0.0
7,0.0,740.0,13.0,76.0,4.0,13.0,45.0,12.0,1.0,2.0,6.0,64.0,0.0,14.0,1.0,51.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,76.0,0.0,0.0,23.0,2.0,0.0,2.0,8.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,675.0,47.0,0.0,31.0,0.0,59.0,9.0,4.0,310.0,0.0,476.0,44.0,0.0,712.0,2.0,114.0,474.0,1.0,28.0,0.0,0.0,0.0,0.0,213.0,4.0,0.0,2.0,0.0,2.0,7.0,5.0,0.0,14.0,0.0,3.0,77.0,0.0,0.0,5.0,9.0,49.0,38.0,1.0,0.0,11.0,0.0,15.0,0.0,26.0,51.0,0.0,0.0,1.0,0.0,0.0,1.0,19.0,0.0,9.0,1.0,4.0,23.0,101.0,0.0,293.0,16.0,68.0,2.0,3.0,4.0,15.0,5.0,161.0,2.0,0.0,0.0,7.0,7.0,16.0,288.0,0.0,21.0,2.0,142.0,23.0,17.0,5.0
8,0.0,246.0,7.0,19.0,112.0,13.0,13.0,19.0,2.0,0.0,7.0,75.0,2.0,78.0,0.0,10.0,0.0,3.0,2.0,0.0,1.0,10.0,0.0,105.0,1.0,2.0,30.0,0.0,8.0,8.0,4.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,22.0,163.0,16.0,0.0,9.0,0.0,7.0,6.0,5.0,114.0,4.0,182.0,42.0,1.0,160.0,1.0,165.0,332.0,8.0,74.0,1.0,0.0,0.0,0.0,400.0,5.0,0.0,0.0,0.0,2.0,11.0,1.0,0.0,4.0,3.0,1.0,43.0,0.0,0.0,0.0,28.0,10.0,30.0,1.0,0.0,23.0,2.0,10.0,0.0,59.0,257.0,0.0,3.0,1.0,3.0,1.0,2.0,1.0,0.0,3.0,0.0,2.0,13.0,50.0,0.0,296.0,12.0,10.0,1.0,2.0,5.0,79.0,14.0,71.0,10.0,0.0,0.0,6.0,12.0,27.0,877.0,0.0,10.0,2.0,245.0,64.0,7.0,1.0
9,21.0,23.0,54.0,59.0,9.0,54.0,83.0,37.0,47.0,1.0,0.0,9.0,19.0,57.0,23.0,43.0,3.0,25.0,17.0,3.0,6.0,5.0,57.0,7.0,4.0,21.0,2.0,11.0,5.0,39.0,451.0,0.0,0.0,0.0,11.0,2.0,1.0,1.0,4.0,2.0,55.0,28.0,20.0,23.0,1.0,1.0,3.0,2.0,33.0,2.0,1.0,79.0,165.0,7.0,0.0,3.0,13.0,4.0,35.0,17.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,171.0,0.0,30.0,30.0,39.0,11.0,12.0,2.0,38.0,4.0,11.0,11.0,9.0,56.0,57.0,153.0,241.0,7.0,0.0,171.0,0.0,0.0,2.0,0.0,3.0,10.0,1.0,2.0,62.0,85.0,25.0,5.0,37.0,119.0,0.0,54.0,0.0,12.0,31.0,0.0,27.0,100.0,4.0,8.0,18.0,38.0,0.0,36.0,6.0,17.0,79.0,3.0,3.0,0.0,28.0,11.0,1.0,1.0,72.0,6.0
